2016-11-01 15:36:32,514 [Dummy-1:123145501962240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-11-01 15:36:32,575 [Dummy-1:123145501962240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-11-01 15:36:32,576 [Dummy-1:123145501962240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2016-11-01 15:36:32,579 [Dummy-1:123145501962240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-11-01 15:36:34,232 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-11-01 15:36:34,240 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.007) SELECT COUNT('*') AS `__count` FROM `myBlog_article`; args=('*',)
2016-11-01 15:36:34,249 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_article`.`date_publish` FROM `myBlog_article` ORDER BY `myBlog_article`.`date_publish` DESC; args=()
2016-11-01 15:36:34,258 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.007) SELECT `myBlog_comment`.`article_id`, COUNT(`myBlog_comment`.`article_id`) AS `comment_count` FROM `myBlog_comment` GROUP BY `myBlog_comment`.`article_id` ORDER BY `comment_count` DESC; args=()
2016-11-01 15:36:34,260 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_article`.`id`, `myBlog_article`.`title`, `myBlog_article`.`desc`, `myBlog_article`.`content`, `myBlog_article`.`click_count`, `myBlog_article`.`is_recommend`, `myBlog_article`.`date_publish`, `myBlog_article`.`user_id`, `myBlog_article`.`category_id` FROM `myBlog_article` WHERE `myBlog_article`.`id` = 14; args=(14,)
2016-11-01 15:36:34,266 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `myBlog_category`.`id`, `myBlog_category`.`name`, `myBlog_category`.`index` FROM `myBlog_category` ORDER BY `myBlog_category`.`index` ASC; args=()
2016-11-01 15:36:34,271 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_ad`.`id`, `myBlog_ad`.`title`, `myBlog_ad`.`description`, `myBlog_ad`.`image_url`, `myBlog_ad`.`callback_url`, `myBlog_ad`.`date_publish`, `myBlog_ad`.`index` FROM `myBlog_ad` ORDER BY `myBlog_ad`.`index` ASC, `myBlog_ad`.`id` ASC; args=()
2016-11-01 15:36:34,274 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_article`.`id`, `myBlog_article`.`title`, `myBlog_article`.`desc`, `myBlog_article`.`content`, `myBlog_article`.`click_count`, `myBlog_article`.`is_recommend`, `myBlog_article`.`date_publish`, `myBlog_article`.`user_id`, `myBlog_article`.`category_id` FROM `myBlog_article` ORDER BY `myBlog_article`.`date_publish` DESC LIMIT 6; args=()
2016-11-01 15:36:34,294 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.019) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag` INNER JOIN `myBlog_article_tag` ON ( `myBlog_tag`.`id` = `myBlog_article_tag`.`tag_id` ) WHERE `myBlog_article_tag`.`article_id` = 14; args=(14,)
2016-11-01 15:36:34,296 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `myBlog_comment` WHERE `myBlog_comment`.`article_id` = 14; args=('*', 14)
2016-11-01 15:36:34,298 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag` INNER JOIN `myBlog_article_tag` ON ( `myBlog_tag`.`id` = `myBlog_article_tag`.`tag_id` ) WHERE `myBlog_article_tag`.`article_id` = 13; args=(13,)
2016-11-01 15:36:34,299 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `myBlog_comment` WHERE `myBlog_comment`.`article_id` = 13; args=('*', 13)
2016-11-01 15:36:34,301 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag` INNER JOIN `myBlog_article_tag` ON ( `myBlog_tag`.`id` = `myBlog_article_tag`.`tag_id` ) WHERE `myBlog_article_tag`.`article_id` = 12; args=(12,)
